nome,contacto,rgpd
Inês Cruz,962851655,1
Noa Leal,923943030,1
Erica Cardoso,961822715,1
Vera Nogueira,934369655,1
Lia da Moura,961014186,1
César Cunha-Tavares,933394469,1
Cláudio da Batista,914284521,1
Brian Cunha,918859705,1
Micael Coelho-Pinto,917055860,1
Júlia do Amorim,911469628,1
Lorena Garcia,938082586,1
Joel Brito,932547227,1
Naiara Faria,938344814,1
Filipe Araújo,913408805,0
Sofia Leal-Valente,965768254,1
Álvaro Amorim,922201924,0
Leonor-Soraia Alves,911385317,1
Isabel Lourenço,923796468,1
Gaspar Leal,929687899,1
Ivan Faria,967049250,1
Francisca Oliveira,918489673,1
Vítor Oliveira,932492348,1
Vítor Maia,965638427,1
Ariana Almeida,962774797,1
Isaac Brito,924034517,1
Benjamim Campos,932658237,0
Adriana Pacheco,922126738,0
Micael do Carneiro,963971138,1
Soraia Abreu-Martins,925282084,1
Yasmin Jesus,961705455,1
Lorena Almeida-Pinheiro,937669238,1
Isaac Vieira,934540743,1
Yasmin Moura,913192002,1
Nádia Pinheiro,967343088,1
Daniela Pinto,938471542,0
Marta-Eva Ferreira,915688781,1
Nair Henriques,925107464,1
Renata Branco,969478603,1
Eduardo da Pinheiro,933495142,0
João Branco,917903074,1
Rafaela-Bruna Domingues,968345533,1
Laura Coelho,923858912,1
Pedro Araújo,936330802,0
Nelson Costa,933678694,1
Filipe Tavares-Batista,915190927,0
Lourenço Miranda,922939497,1
Mafalda de Araújo,938895502,1
Constança Azevedo,932731431,1
Jaime Matos,967171129,0
Anita Torres,964592835,1
Pilar-Emília Araújo,938121884,1
Rui Nogueira,924564638,1
Emma Machado,910550752,1
Alice Neves,936582265,1
António Gomes,914043693,1
Luana Teixeira,935306448,1
Cláudio Neves,910951185,1
Naiara Rocha,960156232,1
Clara Cunha,915825862,1
Lara Anjos,965332252,1
António Freitas,912141504,1
Gabriel Pinheiro,915096763,1
Isabela Araújo,964019158,1
Nuno Leite,918235618,1
Petra Lourenço-Valente,917618879,1
Margarida Martins-Loureiro,939519070,1
Erica Pinho,961253841,1
Carlota-Mélanie Amaral,922479931,1
Marcos Carvalho,938066815,1
Rodrigo Jesus,960416816,1
Carlota-Gabriela Garcia,920322174,1
Raquel do Araújo,910674939,1
Joel Almeida,924843054,1
Mário Maia,928778276,1
Gil Pires,918267036,1
Luca Simões,919154228,1
Joel Lourenço,914965570,1
Joana Teixeira,960593487,1
Eva Lourenço,925120911,1
Benedita Pires-Santos,937720888,0
Vitória da Marques,930726145,1
Eva Morais,928427172,1
Ana Matos-Ramos,937115559,1
Carminho da Carvalho,917269477,1
Teresa Vicente,917761584,0
Jorge Correia,913151599,1
Ismael Moura,914035556,1
Gil Morais,935495634,1
Ana-Nádia Sá,927550421,1
Lia Baptista-Vicente,937639019,1
Raquel Garcia-Valente,963151303,1
Martim Alves,914434710,1
Emma Abreu,965527106,1
Luca Baptista,939098492,1
Márcio Valente,923752914,1
Martim Baptista-Azevedo,911637444,1
Débora Henriques-Loureiro,929100478,1
Sandro Nunes,924423107,1
Jaime Moreira,931887350,1
Núria Maia,914937324,1
