contacto,entidade_nif_nipc,nome_contacto,descricao
patriciafigueiredo@example.org,594922616,Matias de Andrade,Qui quia iure vitae aspernatur nostrum.
969397024,567634467,Carlota Leal,Quisquam ducimus natus maxime.
206184719,967675424,Luana Antunes,Sequi repudiandae voluptatem beatae iusto fugit minima dolor aut distinctio.
965878331,958219368,Gustavo do Morais,Sequi ipsa assumenda cumque iure nesciunt hic.
216395886,931687575,Vera Magalhães,Unde laudantium ratione ut sunt deleniti saepe eius iusto.
Yw-20608939,972075434,Tatiana Carneiro,Eum maiores harum nisi mollitia delectus totam velit animi quaerat.
276033699,917312174,Sara Reis,Ipsa quo veritatis voluptates dolores nisi sunt fugit atque optio.
dT-35765868,137730923,Edgar do Araújo,Laboriosam molestiae illo rerum laudantium.
dominguesnaiara@example.org,143875091,Eduardo Guerreiro,Quas eum esse odio placeat sint laborum.
ji-96033375,947443552,Nicole Branco,Voluptas dolore a non voluptas delectus sunt veritatis ullam earum.
933068944,904402013,André Torres,Iusto aperiam omnis quos quas magni tempora provident.
295735224,938598616,Eduardo Costa,Illum quasi sunt dolores nostrum deleniti.
283883577,592991233,Joana Domingues,Distinctio officia cum laudantium harum quas culpa quod quisquam odio.
258389374,961645403,Ariana de Melo,Ex animi reiciendis similique eligendi odio occaecati dolorum atque corrupti corrupti.
samuelleite@example.net,904990389,Micael Fonseca-Sá,Quam deleniti amet nobis rerum.
294880983,954410985,Vítor Freitas,Ducimus dignissimos facilis error error cum modi.
emanuelfigueiredo@example.org,516391410,José Rocha,Amet nostrum id itaque sint mollitia.
918799774,185818918,Afonso Maia,Nisi recusandae vel voluptatem ipsum ratione.
sx-95265252,964574969,Noah Sousa,Cumque magnam iste tempora maxime architecto quo.
Rl-01262571,983497724,Lucas Monteiro,Assumenda ab nihil quae quae hic natus provident.
921646777,936804576,Duarte Matos-Gaspar,Atque enim voluptates impedit tempore nobis magni molestias temporibus.
AG-54681825,569004778,Francisco Carvalho,Recusandae quaerat necessitatibus sint in assumenda dignissimos quidem.
243546538,972956470,Matilde Carneiro-Nunes,Quidem necessitatibus laudantium cum velit.
kcoelho@example.net,904318704,Bárbara Cunha,Enim ipsa itaque nemo natus odio numquam enim reprehenderit quae.
213327310,937456702,Eva Pacheco,Consequatur perferendis id sit doloremque.
918345895,938453727,Erica Valente,At blanditiis doloribus beatae commodi soluta atque ratione saepe quod.
barbosamatilde@example.net,969833188,Sandro Gomes,Dolor necessitatibus provident numquam dolorem dignissimos.
223801876,958296849,Ivo Carvalho,Unde porro possimus maiores sint velit officiis.
214467293,526956647,Sebastião Fernandes-Cruz,Aspernatur veniam nemo optio amet similique.
