mecena_nif_nipc,data,valor_transacao,tipo_donativo,anonimo,url_comprovativo,estado,id_doacao
971802510,2024-08-19 16:54:09,27231.99,ESPECIE,1,https://comprovativos.mecenas.pt/971802510-569644.pdf,REJEITADO,1
141803457,2026-04-08 16:54:09,47076.32,NUMERARIO,0,https://comprovativos.mecenas.pt/141803457-056094.pdf,ACEITE,2
984029749,2023-11-10 16:54:09,44094.82,ESPECIE,1,https://comprovativos.mecenas.pt/984029749-147363.pdf,PENDENTE,3
570457905,2025-02-27 16:54:09,18230.14,NUMERARIO,1,https://comprovativos.mecenas.pt/570457905-786883.pdf,REJEITADO,4
968073021,2022-11-25 16:54:09,40352.67,NUMERARIO,0,https://comprovativos.mecenas.pt/968073021-239158.pdf,REJEITADO,5
952368467,2021-10-28 16:54:09,44497.7,NUMERARIO,0,https://comprovativos.mecenas.pt/952368467-074517.pdf,ACEITE,6
527944746,2021-08-18 16:54:09,26636.31,NUMERARIO,0,https://comprovativos.mecenas.pt/527944746-339592.pdf,ACEITE,7
934463833,2025-09-25 16:54:09,16290.96,ESPECIE,0,https://comprovativos.mecenas.pt/934463833-353609.pdf,REJEITADO,8
989935239,2022-03-27 16:54:09,365.28,NUMERARIO,1,https://comprovativos.mecenas.pt/989935239-268701.pdf,PENDENTE,9
934463833,2025-10-02 16:54:09,33848.92,NUMERARIO,0,https://comprovativos.mecenas.pt/934463833-901521.pdf,REJEITADO,10
931408267,2025-06-18 16:54:09,9258.42,ESPECIE,0,https://comprovativos.mecenas.pt/931408267-147485.pdf,ACEITE,11
556313597,2021-10-13 16:54:09,31376.87,NUMERARIO,1,https://comprovativos.mecenas.pt/556313597-212984.pdf,ACEITE,12
556313597,2024-07-27 16:54:09,40735.52,NUMERARIO,1,https://comprovativos.mecenas.pt/556313597-972269.pdf,ACEITE,13
904682233,2025-12-02 16:54:09,13263.28,ESPECIE,0,https://comprovativos.mecenas.pt/904682233-801924.pdf,REJEITADO,14
597776249,2023-04-22 16:54:09,19099.0,NUMERARIO,0,https://comprovativos.mecenas.pt/597776249-800497.pdf,PENDENTE,15
559689428,2025-03-21 16:54:09,36522.76,NUMERARIO,1,https://comprovativos.mecenas.pt/559689428-007735.pdf,ACEITE,16
932299475,2023-02-15 16:54:09,35988.35,ESPECIE,0,https://comprovativos.mecenas.pt/932299475-925306.pdf,ACEITE,17
581627422,2024-07-24 16:54:09,47794.67,NUMERARIO,0,https://comprovativos.mecenas.pt/581627422-017434.pdf,REJEITADO,18
962287373,2025-11-14 16:54:09,37577.87,NUMERARIO,1,https://comprovativos.mecenas.pt/962287373-972448.pdf,ACEITE,19
904676742,2024-07-18 16:54:09,28059.43,NUMERARIO,1,https://comprovativos.mecenas.pt/904676742-500344.pdf,PENDENTE,20
952368467,2023-05-03 16:54:09,18873.84,NUMERARIO,0,https://comprovativos.mecenas.pt/952368467-750264.pdf,ACEITE,21
903874458,2025-05-01 16:54:09,16289.13,NUMERARIO,1,https://comprovativos.mecenas.pt/903874458-573415.pdf,REJEITADO,22
984029749,2025-07-11 16:54:09,1133.34,ESPECIE,1,https://comprovativos.mecenas.pt/984029749-556711.pdf,REJEITADO,23
550242459,2026-01-23 16:54:09,27962.09,NUMERARIO,0,https://comprovativos.mecenas.pt/550242459-991903.pdf,PENDENTE,24
934463833,2022-06-23 16:54:09,28665.09,ESPECIE,0,https://comprovativos.mecenas.pt/934463833-898768.pdf,ACEITE,25
919998680,2026-04-22 16:54:09,42845.13,ESPECIE,1,https://comprovativos.mecenas.pt/919998680-220866.pdf,REJEITADO,26
968073021,2024-07-31 16:54:09,12730.01,ESPECIE,0,https://comprovativos.mecenas.pt/968073021-456214.pdf,ACEITE,27
900004584,2022-08-24 16:54:09,32834.62,ESPECIE,0,https://comprovativos.mecenas.pt/900004584-399614.pdf,ACEITE,28
597827469,2021-09-29 16:54:09,15570.22,ESPECIE,0,https://comprovativos.mecenas.pt/597827469-620261.pdf,ACEITE,29
519188567,2022-12-12 16:54:09,38502.26,ESPECIE,0,https://comprovativos.mecenas.pt/519188567-601903.pdf,PENDENTE,30
529893849,2024-07-29 16:54:09,33091.19,NUMERARIO,0,https://comprovativos.mecenas.pt/529893849-440511.pdf,REJEITADO,31
574092361,2022-06-29 16:54:09,36827.04,NUMERARIO,1,https://comprovativos.mecenas.pt/574092361-084306.pdf,ACEITE,32
984029749,2025-08-03 16:54:09,16595.98,ESPECIE,0,https://comprovativos.mecenas.pt/984029749-117209.pdf,REJEITADO,33
998222235,2021-08-11 16:54:09,11912.46,ESPECIE,1,https://comprovativos.mecenas.pt/998222235-988156.pdf,ACEITE,34
931408267,2022-09-25 16:54:09,40958.77,NUMERARIO,0,https://comprovativos.mecenas.pt/931408267-642830.pdf,PENDENTE,35
556313597,2025-09-30 16:54:09,45603.49,ESPECIE,0,https://comprovativos.mecenas.pt/556313597-738395.pdf,REJEITADO,36
960775905,2022-11-14 16:54:09,11896.92,ESPECIE,1,https://comprovativos.mecenas.pt/960775905-260019.pdf,REJEITADO,37
986562587,2025-12-06 16:54:09,11863.79,ESPECIE,1,https://comprovativos.mecenas.pt/986562587-813814.pdf,PENDENTE,38
953559488,2023-03-01 16:54:09,36223.98,NUMERARIO,1,https://comprovativos.mecenas.pt/953559488-197399.pdf,PENDENTE,39
556688786,2022-04-17 16:54:09,2943.13,NUMERARIO,1,https://comprovativos.mecenas.pt/556688786-009791.pdf,PENDENTE,40
974799174,2025-01-03 16:54:09,7298.52,NUMERARIO,0,https://comprovativos.mecenas.pt/974799174-043165.pdf,REJEITADO,41
556313597,2022-07-04 16:54:09,40252.85,NUMERARIO,0,https://comprovativos.mecenas.pt/556313597-577407.pdf,REJEITADO,42
930011063,2024-11-21 16:54:09,34047.84,ESPECIE,1,https://comprovativos.mecenas.pt/930011063-803894.pdf,ACEITE,43
556688786,2025-04-09 16:54:09,13707.76,NUMERARIO,0,https://comprovativos.mecenas.pt/556688786-886204.pdf,REJEITADO,44
900004584,2022-07-30 16:54:09,20912.49,ESPECIE,0,https://comprovativos.mecenas.pt/900004584-959289.pdf,REJEITADO,45
526116617,2025-12-24 16:54:09,18347.19,NUMERARIO,0,https://comprovativos.mecenas.pt/526116617-900571.pdf,ACEITE,46
587225180,2024-07-30 16:54:09,28257.03,NUMERARIO,0,https://comprovativos.mecenas.pt/587225180-489996.pdf,REJEITADO,47
984029749,2024-10-12 16:54:09,39318.25,NUMERARIO,1,https://comprovativos.mecenas.pt/984029749-437400.pdf,REJEITADO,48
931408267,2024-06-29 16:54:09,41055.68,NUMERARIO,0,https://comprovativos.mecenas.pt/931408267-843750.pdf,PENDENTE,49
968073021,2024-05-05 16:54:09,42934.41,ESPECIE,0,https://comprovativos.mecenas.pt/968073021-786576.pdf,PENDENTE,50
971802510,2024-09-14 16:54:09,36035.78,NUMERARIO,1,https://comprovativos.mecenas.pt/971802510-110302.pdf,ACEITE,51
952368467,2025-05-28 16:54:09,41765.34,ESPECIE,0,https://comprovativos.mecenas.pt/952368467-906340.pdf,ACEITE,52
597776249,2023-01-26 16:54:09,18886.1,NUMERARIO,1,https://comprovativos.mecenas.pt/597776249-752242.pdf,ACEITE,53
960775905,2022-09-11 16:54:09,43969.84,NUMERARIO,1,https://comprovativos.mecenas.pt/960775905-588639.pdf,REJEITADO,54
513982860,2025-06-08 16:54:09,29721.13,NUMERARIO,0,https://comprovativos.mecenas.pt/513982860-119379.pdf,ACEITE,55
904676742,2022-07-30 16:54:09,41146.33,ESPECIE,1,https://comprovativos.mecenas.pt/904676742-518756.pdf,ACEITE,56
968073021,2024-02-14 16:54:09,43443.79,NUMERARIO,0,https://comprovativos.mecenas.pt/968073021-024979.pdf,ACEITE,57
911605592,2021-08-19 16:54:09,30403.73,ESPECIE,1,https://comprovativos.mecenas.pt/911605592-541485.pdf,REJEITADO,58
526116617,2022-03-17 16:54:09,5763.98,ESPECIE,0,https://comprovativos.mecenas.pt/526116617-031403.pdf,REJEITADO,59
932299475,2023-02-04 16:54:09,26838.98,ESPECIE,0,https://comprovativos.mecenas.pt/932299475-726427.pdf,ACEITE,60
953559488,2021-12-23 16:54:09,12937.15,ESPECIE,0,https://comprovativos.mecenas.pt/953559488-959395.pdf,ACEITE,61
972638313,2023-06-29 16:54:09,12917.98,ESPECIE,1,https://comprovativos.mecenas.pt/972638313-370033.pdf,PENDENTE,62
930011063,2022-04-18 16:54:09,20210.83,NUMERARIO,0,https://comprovativos.mecenas.pt/930011063-940960.pdf,PENDENTE,63
597776249,2024-06-05 16:54:09,26224.8,ESPECIE,0,https://comprovativos.mecenas.pt/597776249-558523.pdf,ACEITE,64
984029749,2022-05-31 16:54:09,47128.73,ESPECIE,0,https://comprovativos.mecenas.pt/984029749-765938.pdf,PENDENTE,65
570457905,2024-11-18 16:54:09,29775.71,NUMERARIO,1,https://comprovativos.mecenas.pt/570457905-893569.pdf,PENDENTE,66
