nif_nipc,email_login,password,nome_entidade,iban,codigo_postal
536930342,emma-angela.brito@gmail.com,!7NT*ZH_&fUQ,Emma-Ângela Brito,PT28566525348122844089351,4860-169
526116617,jose.pires@hotmail.com,Y_KiPGtoXpR5,José Pires,PT25018869916641927451352,3300-059
556688786,camila.andrade@gmail.com,2(wYXMzx#$6E,Camila Andrade,PT89367492384678594166245,9970-089
252864909,leonor.matias@gmail.com,OEZ0)LSv^7@z,Leonor Matias,PT22916789971926761019963,4595-082
953559488,kevim.miranda@clix.pt,6&G(RQ*udU5i,Kévim Miranda,PT18408835646648342359764,2820-518
550242459,eva.fonseca@clix.pt,jo3tNyV1+4eB,Eva Fonseca,PT91134607349543719325774,2560-157
904682233,fernando.pinho@sapo.pt,%#2Bl$wWFZ9E,Fernando Pinho,PT53660964807845288852760,4575-293
931408267,helena.neto@sapo.pt,ADN6ihFy@#5R,Helena Neto,PT03176430256546971976222,4445-126
932299475,teresa.paiva@hotmail.com,$gOP&o4xY9!D,Teresa Paiva,PT12617250160785270613834,6370-199
968073021,francisca.almeida@hotmail.com,)184gDvaXKAe,Francisca Almeida,PT34794689501785373436364,1750-285
962287373,vasco.machado-carneiro@hotmail.com,%8CxmZC3(5aK,Vasco Machado-Carneiro,PT14035674591173976669683,7220-117
597776249,bryan.pereira-soares@sapo.pt,@WuasBtXv8Aw,Bryan Pereira-Soares,PT20955382473683704630786,4625-121
986562587,xavier.pires@clix.pt,+3Lb0M^WACUu,Xavier Pires,PT40142168579846808012003,2820-446
910673130,rodrigo.mota@sapo.pt,1q6_9ACkA^h7,Rodrigo Mota,PT02650664611900658169451,9900-156
597827469,mia-petra.pires@clix.pt,n^ORAEeXay0x,Mia-Petra Pires,PT38948555466153091424742,9980-028
919998680,nuno.neves@sapo.pt,ZFKoAoCxg$9V,Nuno Neves,PT89512147169497859151648,4770-481
527944746,beatriz.cunha@clix.pt,_TCc$Gj)6i($,Beatriz Cunha,PT10434188945377478898288,2520-220
903874458,nuria.pinheiro@sapo.pt,(7N6nJ0hb7OA,Núria Pinheiro,PT64160652947341419273427,5230-037
574092361,ariana.neves@sapo.pt,+4LPlT4_w3@r,Ariana Neves,PT58095024910493709720904,7200-290
900004584,nuno.nogueira@sapo.pt,dY73Pqs7!9@6,Nuno Nogueira,PT40007658836416236744839,9760-323
559689428,cesar.garcia@sapo.pt,5$4DND+$zciy,César Garcia,PT14358698165893585823385,2560-157
598195146,lucas.rodrigues@clix.pt,hNH9#Tvm_a%L,Lucas Rodrigues,PT26848432461306837851575,1150-002
513982860,emilia-iris.marques@gmail.com,(L5E@s6Ki7SL,Emília-Íris Marques,PT70227269414715002044198,2435-279
570457905,carlos.neves@hotmail.com,*#3bslB5iRSK,Carlos Neves,PT02716490487948387516584,1750-285
575575001,andreia-julia.moura@gmail.com,5QrVK6LgN^3v,Andreia-Júlia Moura,PT24818158094936756481414,4445-483
519188567,pedro.reis@clix.pt,#6_x9KWqYLtN,Pedro Reis,PT79760696996671856383398,3000-403
587225180,rafaela.gomes@hotmail.com,_p1Z*AwOBPq2,Rafaela Gomes,PT98049871971220299998442,2840-239
965841049,carlos.anjos-assuncao@sapo.pt,guEerfIf&b6^,Carlos Anjos-Assunção,PT05020626786615867370496,4475-313
998222235,sandro.magalhaes@hotmail.com,G7MbmXEx+Kb$,Sandro Magalhães,PT79026737560055644803128,9900-040
581627422,tiago.macedo@sapo.pt,!G!!+eC!t8G9,Tiago de Macedo,PT78893999063072941426254,3030-208
966225937,madalena.soares@clix.pt,Dg*1M6ofIT0c,Madalena de Soares,PT69507740920759157929166,4815-625
904676742,jessica.rocha@gmail.com,05dAk*DA$dSp,Jéssica Rocha,PT35845414734414569082894,2770-060
974799174,patricia.abreu@sapo.pt,(_N^rWdX(56J,Patrícia Abreu,PT87953132992323676109201,7200-290
556313597,frederico.monteiro@gmail.com,B3qwswhU&lhA,Frederico da Monteiro,PT80584491181229263323015,2695-527
165206174,afonso.nogueira@gmail.com,^X1GGNr9UXuw,Afonso Nogueira,PT70215714207020856727773,2410-493
960775905,leticia.macedo-marques@sapo.pt,c@4_gdxj^luC,Letícia Macedo-Marques,PT95107467565088390628094,4535-088
952368467,maria-erica.goncalves@clix.pt,7c3ApoAM*&RF,Maria-Érica Gonçalves,PT80096821114629341478242,6000-194
911605592,anita.oliveira@gmail.com,E*CCYLGq4Te5,Anita Oliveira,PT59724346505466647214156,9360-211
984029749,leandro.correia@clix.pt,+XL&8XNu#mrw,Leandro Correia,PT37381961733009817905070,2200-212
985126490,raquel.soares@sapo.pt,&VbLth3^d+2%,Raquel Soares,PT12124807227895361063118,6120-541
920899594,nuria.morais@hotmail.com,+2LWkyDa6WdG,Núria do Morais,PT29306351471350230020062,4635-252
972638313,marcos.alves@clix.pt,@BfUGYf68E1T,Marcos Alves,PT39824220730609880948393,2785-614
938138170,erica.mendes@hotmail.com,s_IAOZS7pj6i,Erica Mendes,PT85685458996365977009045,2840-239
929946375,flor.reis@gmail.com,_A0K@&ft8PKA,Flor Reis,PT73915265476151893200927,3300-059
141803457,matilde.esteves-pereira@hotmail.com,789#l1Byd#gW,Matilde Esteves-Pereira,PT63993504134142800428367,2820-518
934463833,pedro.pires-torres@sapo.pt,6qkJ895r+(3&,Pedro Pires-Torres,PT45735681943926329618316,2520-220
971802510,ines.freitas-reis@sapo.pt,+ZlLyuWVJ*6r,Inês Freitas-Reis,PT07554966571736333829305,9560-108
930011063,caetana.paiva-martins@clix.pt,n$8NFQvh*#$D,Caetana Paiva-Martins,PT14089363851877790767820,2820-446
989935239,micael.sa@hotmail.com,xr8%iKg!c&EJ,Micael da Sá,PT94648779756151882225600,4595-082
529893849,santiago.ribeiro@gmail.com,G2NyPmWp)WMX,Santiago Ribeiro,PT85063726223985045551850,6000-194
913825744,soltec43@hotmail.com,z7PFcmWKAwv),SolTec 43,PT36690669966438045890088,5210-201
902394987,greenenergy69@hotmail.com,z(ZX3NdB+vCj,GreenEnergy 69,PT68368260842913951416096,5230-037
518826643,nanotech32@gmail.com,g9mRw4nJv)8R,NanoTech 32,PT75169135832454501569994,4580-599
533297484,inovamais31@clix.pt,n+yWDAn9@+r6,InovaMais 31,PT75464872457771527059616,1150-002
982719670,databridge80@clix.pt,2yFaCgb*+8KG,DataBridge 80,PT64988212840203233590492,6120-541
956545458,marinov94@sapo.pt,(66+oQdi5TDo,MarInov 94,PT83240519778038064270896,4580-599
536242061,aquaclean60@sapo.pt,%77_QefR)54F,AquaClean 60,PT32741848387618267605342,4635-252
525856876,ecoverde87@sapo.pt,NsQF!hS!(4Ek,EcoVerde 87,PT67538082062780180957751,7900-190
953648075,turbolean73@sapo.pt,t%_HL%b6gz5l,TurboLean 73,PT54581385820742292632298,3220-507
990643270,logiflow44@hotmail.com,4V!fdPbsJ(3J,LogiFlow 44,PT16561215469958359392207,2740-175
988310317,smartrede18@clix.pt,4lS9xexv@hrW,SmartRede 18,PT78864871484451490269179,2200-212
937536010,flexwork57@hotmail.com,$OPMgkI1uu4#,FlexWork 57,PT57156139916695595731642,9980-028
930648421,agroconde41@clix.pt,fSn02kkpi#0B,AgroConde 41,PT03651728541020488699174,6185-309
910432031,digitalporto04@gmail.com,LsOpFV6lI%3N,DigitalPorto 04,PT44474269580640956859228,2565-196
572957057,urbanbuild26@clix.pt,Gho8K_uF+S&P,UrbanBuild 26,PT68331835287768645739909,2785-614
