data,id_painel,nome_cidadao,contacto_cidadao,id_pedido,item_pedido,estado,pin_entrega,id_locker,id_lead
2025-03-11 12:19:11,28,Enzo Anjos,924618928,13,ITEM-3678-zX,PENDENTE,BRDQ5651QVZW2043,2,1
2024-07-11 12:19:11,22,Luana de Morais,914175647,93,ITEM-1218-Ok,EXPIRADO,ZTNU8368UVZT7119,19,2
2024-06-03 12:19:11,2,Inês Morais,938351082,66,ITEM-7420-da,ENTREGUE,DUYX8244ZYCV7158,9,3
2025-04-30 12:19:11,4,César Monteiro,932436758,68,ITEM-3121-rE,EXPIRADO,HPTY0624HQGC0058,3,4
2025-02-12 12:19:11,10,Tatiana Matias-Anjos,933628980,49,ITEM-2484-eK,ENTREGUE,CEWN1693PURD4981,20,5
2024-07-14 12:19:11,25,Diogo Neto,931347545,52,ITEM-0404-Dy,PENDENTE,KBAT2938CSTP7670,9,6
2024-04-09 12:19:11,30,Yasmin do Campos,928378668,23,ITEM-0396-fM,ENTREGUE,YLLG7200OMPE7523,17,7
2023-07-27 12:19:11,8,Gonçalo Pereira,924771072,33,ITEM-3181-Ru,ENTREGUE,PYFC1211IMIL4340,10,8
2023-05-24 12:19:11,23,Soraia da Macedo,932226674,61,ITEM-9173-sq,PENDENTE,WSVB5907IYBM8637,13,9
2025-01-23 12:19:11,28,Noah Gaspar,968999378,75,ITEM-3311-UM,ENTREGUE,URHZ7917NBFS1382,26,10
2025-07-22 12:19:11,7,Helena Gomes-Ferreira,938740587,80,ITEM-8391-Ud,EXPIRADO,IRWZ3436VVAZ3396,18,11
2023-09-17 12:19:11,3,Luciana Matos,911647552,86,ITEM-4806-Nt,EXPIRADO,CKZO7002CEHF4606,22,12
2023-05-09 12:19:11,26,Sandro Figueiredo,918478946,60,ITEM-0695-wM,PENDENTE,VPQY4349KBVN8201,29,13
2023-12-01 12:19:11,19,Luísa Amaral,926882465,95,ITEM-1116-wi,EXPIRADO,LLCD3758CDQZ1580,25,14
2024-05-17 12:19:11,3,Naiara-Erica Sousa,937682645,31,ITEM-5588-bF,PENDENTE,UDWY2061KVLW5517,1,15
2024-01-02 12:19:11,30,Rúben Leal,924098797,92,ITEM-0633-mw,ENTREGUE,BJSM4775NFSI9041,28,16
2025-07-31 12:19:11,23,Eva Rocha,927501548,90,ITEM-4978-PB,ENTREGUE,LVZY6119FZVE5836,8,17
2025-02-09 12:19:11,23,Adriana Coelho,910724452,23,ITEM-4298-vm,ENTREGUE,TFWL9753XWZQ2059,17,18
2026-04-14 12:19:11,1,Íris de Fonseca,929418712,41,ITEM-6919-EZ,ENTREGUE,KNRW7127GSPA4117,17,19
