nif_nipc,estado,id_pedido
994352323,PENDENTE,1
945669982,ACEITE,2
994352323,PENDENTE,3
593389417,ACEITE,4
555359872,ACEITE,5
948448360,REJEITADO,6
596562843,PENDENTE,7
530317315,PENDENTE,8
593389417,PENDENTE,9
956356802,PENDENTE,10
942104675,REJEITADO,11
921443856,PENDENTE,12
900734327,PENDENTE,13
901793432,ACEITE,14
976978452,ACEITE,15
903590130,ACEITE,16
584982196,REJEITADO,17
925711173,ACEITE,18
997030619,ACEITE,19
501485640,PENDENTE,20
569946707,PENDENTE,21
508323816,ACEITE,22
908621239,ACEITE,23
945669982,PENDENTE,24
518279284,REJEITADO,25
593389417,REJEITADO,26
921443856,PENDENTE,27
977898090,ACEITE,28
976364985,ACEITE,29
956257005,ACEITE,30
597310154,ACEITE,31
994352323,ACEITE,32
956356802,ACEITE,33
904464313,REJEITADO,34
942183964,ACEITE,35
930402376,PENDENTE,36
972103056,ACEITE,37
904464313,REJEITADO,38
505990313,ACEITE,39
957956690,REJEITADO,40
948448360,ACEITE,41
962062755,ACEITE,42
920126341,PENDENTE,43
994352323,REJEITADO,44
920126341,ACEITE,45
501485640,PENDENTE,46
556556941,PENDENTE,47
555359872,PENDENTE,48
956257005,ACEITE,49
900734327,ACEITE,50
505990313,REJEITADO,51
501485640,ACEITE,52
530317315,ACEITE,53
919218413,PENDENTE,54
942183964,PENDENTE,55
575360251,REJEITADO,56
994352323,ACEITE,57
501485640,ACEITE,58
505990313,PENDENTE,59
956257005,PENDENTE,60
945669982,ACEITE,61
956257005,PENDENTE,62
545102425,REJEITADO,63
908621239,PENDENTE,64
921443856,ACEITE,65
997030619,PENDENTE,66
545102425,REJEITADO,67
976364985,ACEITE,68
942104675,ACEITE,69
569946707,PENDENTE,70
942104675,PENDENTE,71
901793432,ACEITE,72
903590130,ACEITE,73
575360251,PENDENTE,74
551157468,ACEITE,75
918072417,PENDENTE,76
976978452,PENDENTE,77
596562843,PENDENTE,78
518279284,ACEITE,79
962062755,PENDENTE,80
508323816,ACEITE,81
597310154,ACEITE,82
569946707,ACEITE,83
962062755,ACEITE,84
920126341,ACEITE,85
919218413,ACEITE,86
501485640,ACEITE,87
942183964,PENDENTE,88
918072417,ACEITE,89
930402376,PENDENTE,90
530317315,PENDENTE,91
956257005,PENDENTE,92
994352323,ACEITE,93
903590130,PENDENTE,94
518279284,ACEITE,95
942104675,PENDENTE,96
962062755,PENDENTE,97
940860397,ACEITE,98
997030619,ACEITE,99
505990313,ACEITE,100
